NOMBRE,TIPO,LATITUD,LONGITUD,DIRECCION
TORRES DE VILLA ALSACIA,Cultura,4.64382475567346,-74.1254976443358,CALLE 12 C # 71 C - 30
COLEGIO SAN JOSE,Cultura,4.6167934997773,-74.1661250756755,CALLE 46A SUR # 78N - 41
SUPER MANZANA 2,Cultura,4.61654532371613,-74.1967840891662,CARRERA 73 BIS SUR # 26 - 81 
GRUPO CARVAJAL VIVE DIGITAL,Cultura,4.61430765289906,-74.1425933603298,CALLE 37B SUR # 72J - 74
COLEGIO EDUARDO UMAÑA LUNA,Cultura,4.64171498737681,-74.1747292045118,CRA. 93A # 42-42
FUNDACIÓN LEONOR HERNANDEZ,Cultura,4.64756533796547,-74.1673821667979,CL. 26sur # 93-40 SALÓN COMUNAL
SALÓN COMUNAL VILLA DE LA TORRE,Cultura,4.62675656674708,-74.1668998026571,CRA. 81G #42B-58 sur
FUNDACIÓN REAL PRIMAVERA,Cultura,4.64420039950868,-74.1652593775303,Calle 26 SUR # 89D - 79
SALÓN COMUNAL UNIR 1,Cultura,4.64213826820016,-74.1669302621846,CL. 35 sur # 89D-32
SALÓN COMUNAL LUCERNA,Cultura,4.611898406861449,-74.1455502756755,Calle 38C Sur # 72K - 33
COLEGIO FRANCISCO MIRANDA,Cultura,4.61347232427476,-74.1524334621847,CARRERA 73 BIS # 40-55
LA MACARENA,Cultura,4.61981188700929,-74.1488866891661,CARRERA 73D # 37-29 SUR
LICEO PIÑEROS CORTES,Cultura,4.62492872219021,-74.1434090045118,CALLE 2 BIS # 73C - 55 
JAC AMÉRICAS OCCIDENTAL,Cultura,4.62875847226292,-74.1393237468389,CALLE 5A # 72A20
JAC ONASIS,Cultura,4.6152647120479,-74.1635480891662,AVE 1 DE MAYO # 43-76
CASA DE IGUALDAD DE OPORTUNIDADES PARA LAS MUJERES,Cultura,4.62639962192221,-74.1348461045118,CALLE 3 A # 71 A - 54
FUNDACION MARTA CHACON,Cultura,4.63256839595097,-74.134842635203,CALLE 7A # 71B - 65
JAC CLASS,Cultura,4.6154673762872,-74.1777247468391,CALLE 57 B SUR # 80H - 32 
SALÓN COMUNAL BOITA,Cultura,4.6025280020863,-74.1527259001504,"Cl. 48b Sur #13, Bogotá"
SALÓN COMUNAL RIVERAS DE OCCIDENTE PRIMER SECTOR,Cultura,4.64364785497497,-74.167712365518,Cra 91 calle 34 b sur
SALON COMUNAL CALIFORNIA,Cultura,4.61878369328263,-74.1493104078485,Cl. 38b Sur #73C - 86
CASA CULTURAL YORUBA,Cultura,4.62121307453929,-74.1522989231881,"Cl. 38b Sur #78b-31, Bogotá"
SALÓN COMUNAL PALMITAS,Cultura,4.60393181443716,-74.1379797366836,CL 38 C SUR Cra. 101A 15
LA IGUALDAD,Cultura,4.62131954464022,-74.1274261099211,Cra 68c # 2A sur 84
CENTRO CULTURAL BIBLIOTECA BRITALIA,Cultura,4.6234171920897,-74.1777437213437, Calle 52AS #52A-08 Sur
ASOCIACION FRATERNIDAD DE ABUELOS ENRIQUE GROSSE,Cultura,4.62452739180369,-74.1689087808578,Cra. 81c Bis A #43-24
BIBLIOTECA LA GUARICHA,Cultura,4.62106121104952,-74.1739706748143,Calle 52 A Sur ·52 A -08 sur
URBANIZACIÓN CATANIA,Cultura,4.635490063955969,-74.1482652096926,CRA 79B # 6B-65 
CASA LGBTIQ+,Cultura,4.62539660378548,-74.1531189366833,CL 36 SUR # 78K 58 
SALON COMUNAL LAS MARGARITAS 1,Cultura,4.63452578922484,-74.1770206925088,KR 89A # 45A 38 SUR 
SALON COMUNAL LOS PERIODISTAS,Cultura,4.61697779838934,-74.1577537004896,Calle 41B # 78H - 45 Sur
SUPER MANZANA 12,Cultura,4.63326178955117,-74.153994194353,DIAGONAL 2B # 79H 08
VILLA ALSACIA,Cultura,4.64313525071875,-74.1292728790133,"Cl. 12a #71C-61, Bogotá Mirador de Castilla 3"
SALÓN COMUNAL MARIA PAZ,Cultura,4.6370823011237,-74.1580137771691,CL 5A SUR # 82 63
CDC BRITALIA,Cultura,4.62188759853348,-74.1648405213437,AV CR 80 # 43-43
SALON COMUNAL PALENQUE,Cultura,4.61536795845542,-74.1585938213439,CRA 78D BIS # 41G-15 SUR 
FUNDACIÓN PT,Cultura,4.63437340174133,-74.1664515501785,Cra. 86g #40-60
SALON COMUNAL CASTILLA,Cultura,4.63798086316172,-74.1416312790134,CRA 78 # 7F - 20
GRUPO 1 IED VILLA RICA,Cultura,4.60038494647966,-74.178379321344,CRA. 77 K BIS No. 50 -26
GRUPO 3 JOVENES BRITALIA,Cultura,4.62404927368048,-74.1725622213437,CRA 81 J No. 47B - 16
GRUPO 4 RODRIGO UMAÑA LUNA,Cultura,4.64139642552086,-74.1747388636737,CRA 93 CON CALLE 42B SUR
GRUPO 5 IED LA FLORESTA SUR,Cultura,4.62079830483107,-74.1266500925089,CRA 68 A BIS SUR 1 - 09
GRUPO 6 CASTILLA IED SAN JOSE DE CASTILLA,Cultura,4.63741911935792,-74.1426767520228,CALLE 7 C No. 78 - 20
2 Fucolprav,Cultura,4.6221836621383,-74.1600248060042,Carrera 79b N° 41b-34 sur
IED LAS AMERICAS,Cultura,4.61703771166243,-74.1508150925089,Cra. 73c Bis # 38C-84S
