motivo,barrio_codigo,barrio_nombre,upz_codigo,candidato_fuente,candidato_id,candidato_nombre
ambiguo,5144,VILLA CASTILLA,46,barrio_legalizado,387608,VILLA CASTILLA
ambiguo,5144,VILLA CASTILLA,46,barrio_legalizado,389260,VILLA CASTILLA
sin_match,1,ABRAHAM LINCOLN,47,,,
sin_match,3,AGRUPACION DE VIVIENDA EL PARAISO,47,,,
sin_match,4,CASA BLANCA I ETAPA,47,,,
sin_match,5,CASA BLANCA II ETAPA,47,,,
sin_match,6,CENTRO CIVICO CIUDAD KENNEDY,47,,,
sin_match,11,CIUDAD KENNEDY SUPER MZ. 10,47,,,
sin_match,12,CIUDAD KENNEDY SUPER MZ. 13,47,,,
sin_match,14,CONJUNTO RESIDENCIA MANUEL MEJIA,47,,,
sin_match,15,EL DESCANSO,47,,,
sin_match,16,KENNEDY NORTE SUPER MZ.11,47,,,
sin_match,17,KENNEDY OCCIDENTAL MZ. 14,47,,,
sin_match,18,KENNEDY OCCIDENTAL MZ.15,47,,,
sin_match,19,KENNEDY ORIENTAL SUPER MZ.7,47,,,
sin_match,20,KENNEDY ORIENTAL SUPER MZ. 3,47,,,
sin_match,21,KENNEDY ORIENTAL SUPER MZ. 6,47,,,
sin_match,22,KENNEDY ORIENTAL SUPER MZ.2,47,,,
sin_match,23,KENNEDY ORIENTAL SUPER MZ.5,47,,,
sin_match,24,KENNEDY SUPERMANZANA I,47,,,
sin_match,26,LA GIRALDILLA II,47,,,
sin_match,27,MIRAFLORES KENNEDY,47,,,
sin_match,28,MULTIFAMILIAR TECHO,47,,,
sin_match,29,NUEVO KENNEDY,47,,,
sin_match,30,NVO. KENNEDY EL DESCANSO,47,,,
sin_match,33,SUPERMANZANA 16,47,,,
sin_match,34,SUPERMANZANA 9B,47,,,
sin_match,36,UNIDAD RESIDENCIAL AYACUCHO 2 S.MZ,47,,,
sin_match,37,URB. KENNEDY SUPER MZ.8,47,,,
sin_match,38,URB. MANDALAY ETAPA C ZONA 73,47,,,
sin_match,39,URBANIZACION ARBOLETE CASABLANCA,47,,,
sin_match,40,URBANIZACION BANDERAS,47,,,
sin_match,41,URBANIZACION EXPERIMENTAL KENNEDY,47,,,
sin_match,42,URBANIZACION SINAI,47,,,
sin_match,43,GRUP. FRANCISCO JOSE DE CALDAS.,47,,,
sin_match,703,BARRANCUILLITA,82,,,
sin_match,704,BELAVISTA,82,,,
sin_match,710,EL PARADOR,82,,,
sin_match,711,EL PATIO II SECTOR,82,,,
sin_match,712,EL ROSARIO I,82,,,
sin_match,715,EL TRIUNFO,82,,,
sin_match,718,LA RIVERA,82,,,
sin_match,719,LA RIVIERA II SECTOR,82,,,
sin_match,722,LAS PALMERAS,82,,,
sin_match,726,NUEVA ESPERANZA,82,,,
sin_match,727,PARQUES DEL TINTAL (CAMPO ALEGRE LONDOÑO),82,,,
sin_match,728,PATIO BONITO I,82,,,
sin_match,732,SAN MARINO,82,,,
sin_match,739,URBANIZACION DINADULTO II ETAPA,82,,,
sin_match,741,VILLA ANDREA,82,,,
sin_match,1001,ALOHA,113,,,
sin_match,1002,ALSACIA,113,,,
sin_match,1003,ATICOS DE LAS AMERICAS,113,,,
sin_match,1005,EL CONDADO DE LA PAZ,113,,,
sin_match,1006,LOS PINOS DE MARSELLA,113,,,
sin_match,1007,LUCITANIA,113,,,
sin_match,1009,MARSELLA SECTOR NORTE I Y II ETAPA,113,,,
sin_match,1010,MULTIFAMILIARES LA PAZ EL FERROL,113,,,
sin_match,1011,NUESTRA SEÑORA DE LA PAZ,113,,,
sin_match,1012,SAN JOSE OCCIDENTAL,113,,,
sin_match,1013,UNIDAD OVIEDO,113,,,
sin_match,4401,AGRUPACION PIO X,44,,,
sin_match,4402,AGRUPACION MULTIFAMILIAR VILLA EMILIA,44,,,
sin_match,4403,ALFEREZ REAL,44,,,
sin_match,4404,AMERICAS CENTRAL,44,,,
sin_match,4405,"AMERICAS OCCIDENTAL I, II Y III ETAPA",44,,,
sin_match,4406,ANTIGUO HIPODROMO DE TECHO II ETAPA,44,,,
sin_match,4407,CARVAJAL II SECTOR,44,,,
sin_match,4410,CONJUNTO RES. EL RINCON DE MANDALAY,44,,,
sin_match,4412,FUNDADORES,44,,,
sin_match,4413,GLORIETA DE LAS AMERICAS,44,,,
sin_match,4417,LA FLORESTA,44,,,
sin_match,4418,LA IGUALDAD,44,,,
sin_match,4419,LA LLANURA,44,,,
sin_match,4420,LA LLANURA MANZANA P,44,,,
