clase_fa,archivos,lucide_propuesto,confianza,revisar_a_mano,ejemplos
fa-arrow-left,22,ArrowLeft,exacto,no,frontend/src/app/features/area/area-cai.component.ts | frontend/src/app/features/area/area-panel.component.ts
fa-chart-line,18,ChartLine,exacto,no,apps/dashboard/services/hub_cards.py | core/settings.py
fa-folder-open,15,FolderOpen,exacto,no,frontend/src/app/features/actividades/actividades-eventos.component.ts | frontend/src/app/features/actividades/actividades-tipo.component.ts
fa-plus,15,Plus,exacto,no,frontend/src/app/features/admin/admin-rol-detalle.component.ts | frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-check,14,Check,exacto,no,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/captura/captura-list.component.ts
fa-users,14,Users,exacto,no,apps/caracterizacion/sectores.py | core/settings.py
fa-times,11,X,sinonimo,sí,frontend/src/app/features/admin/admin-rol-detalle.component.ts | frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-chevron-right,10,ChevronRight,exacto,no,frontend/src/app/core/layout/breadcrumb/breadcrumb.component.ts | frontend/src/app/features/banco-iniciativas/inscripciones-list.component.ts
fa-info-circle,10,Info,sinonimo,sí,frontend/src/app/features/actividades/actividades-hub.component.ts | frontend/src/app/features/presupuesto/comparacion-sdp.component.ts
fa-lock,10,Lock,exacto,no,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/festivales/festival-detalle.component.ts
fa-plus-circle,10,CirclePlus,sinonimo,sí,apps/login/api/views.py | frontend/src/app/features/actividades/actividades-eventos.component.ts
fa-triangle-exclamation,10,TriangleAlert,sinonimo,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/cursos/cursos-insights.component.ts
fa-calendar,9,Calendar,exacto,no,frontend/src/app/features/cursos/curso-detalle.component.ts | frontend/src/app/features/eventos/evento-qr.component.ts
fa-eye,9,Eye,exacto,no,frontend/src/app/features/admin/admin-roles.component.ts | frontend/src/app/features/banco-iniciativas/inscripciones-list.component.ts
fa-spinner,9,LoaderCircle,sinonimo,sí,frontend/src/app/features/admin/admin-accesos.component.ts | frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-trash,9,Trash,exacto,no,frontend/src/app/features/cursos/curso-detalle.component.ts | frontend/src/app/features/educacion/colegio-detalle.component.ts
fa-user,9,User,exacto,no,core/settings.py | frontend/src/app/features/admin/admin-rol-detalle.component.ts
fa-calendar-check,8,CalendarCheck,exacto,no,apps/dashboard/services/hub_cards.py | frontend/src/app/core/layout/sidebar/sidebar.component.ts
fa-chart-pie,8,ChartPie,exacto,no,frontend/src/app/features/banco-iniciativas/inscripciones-list.component.ts | frontend/src/app/features/banco-iniciativas/insights.component.ts
fa-check-circle,8,CircleCheck,sinonimo,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/entregas/entrega-detail.component.ts
fa-circle-info,8,Info,sinonimo,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/cursos/curso-detalle.component.ts
fa-clipboard-list,8,ClipboardList,exacto,no,apps/login/api/views.py | apps/presupuesto/services/modulos_area.py
fa-coins,8,Coins,exacto,no,core/settings.py | frontend/src/app/core/layout/sidebar/sidebar.component.ts
fa-exclamation-triangle,8,TriangleAlert,sinonimo,sí,frontend/src/app/features/presupuesto/presupuesto-dashboard.component.ts | frontend/src/app/features/publico/captura-publico.component.ts
fa-layer-group,8,,sin-candidato,sí,frontend/src/app/features/actividades/actividades-tipo.component.ts | frontend/src/app/features/admin/admin-org.component.ts
fa-search,8,Search,exacto,no,frontend/src/app/features/admin/admin-rol-detalle.component.ts | frontend/src/app/features/banco-iniciativas/inscripciones-list.component.ts
fa-sitemap,8,,sin-candidato,sí,apps/dashboard/services/hub_cards.py | frontend/src/app/core/layout/sidebar/sidebar.component.ts
fa-chevron-down,7,ChevronDown,exacto,no,frontend/src/app/core/layout/topbar/topbar.component.html | frontend/src/app/features/presupuesto/actividades-subgrupo.component.ts
fa-exclamation-circle,7,CircleAlert,sinonimo,sí,frontend/src/app/features/publico/captura-publico.component.ts | frontend/src/app/features/publico/caracterizacion-publico.component.ts
fa-folder,7,Folder,exacto,no,apps/dashboard/api/views.py | apps/login/api/views.py
fa-music,7,Music,exacto,no,apps/caracterizacion/sectores.py | apps/presupuesto/services/modulos_area.py
fa-paper-plane,7,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/publico/captura-publico.component.ts
fa-refresh,7,RefreshCw,sinonimo,sí,frontend/src/app/features/publico/captura-publico.component.ts | frontend/src/app/features/publico/caracterizacion-publico.component.ts
fa-vote-yea,7,Vote,sinonimo,sí,apps/dashboard/services/hub_cards.py | apps/presupuesto/services/modulos_area.py
fa-bullseye,6,Target,sinonimo,sí,frontend/src/app/features/jovenes-a-la-e/entrega-detail.component.ts | frontend/src/app/features/presupuesto/presupuesto-dashboard.component.ts
fa-camera,6,Camera,exacto,no,frontend/src/app/features/infraestructura/infra-detalle.component.ts | frontend/src/app/features/publico/captura-publico.component.ts
fa-chevron-left,6,ChevronLeft,exacto,no,frontend/src/app/features/banco-iniciativas/inscripciones-list.component.ts | frontend/src/app/features/caracterizacion/caracterizacion-list.component.ts
fa-diagram-project,6,,sin-candidato,sí,frontend/src/app/features/presupuesto/oficial-lista.component.ts | frontend/src/app/features/presupuesto/presupuesto-dashboard.component.ts
fa-edit,6,Pencil,sinonimo,sí,frontend/src/app/features/actividades/actividades-eventos.component.ts | frontend/src/app/features/admin/admin-org.component.ts
fa-file-contract,6,FileText,sinonimo,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/infraestructura/infra-detalle.component.ts
fa-user-plus,6,UserPlus,exacto,no,frontend/src/app/core/layout/sidebar/sidebar.component.ts | frontend/src/app/features/admin/admin-hub.component.ts
fa-file-signature,5,,sin-candidato,sí,frontend/src/app/features/presupuesto/contratos-oficiales.component.ts | frontend/src/app/features/presupuesto/presupuesto-detail.component.ts
fa-flag-checkered,5,,sin-candidato,sí,frontend/src/app/features/presupuesto/oficial-lista.component.ts | frontend/src/app/features/presupuesto/presupuesto-entidad.component.ts
fa-graduation-cap,5,GraduationCap,exacto,no,apps/presupuesto/services/modulos_area.py | frontend/src/app/features/educacion/colegios-list.component.ts
fa-id-card,5,IdCard,exacto,no,core/settings.py | frontend/src/app/features/perfil/perfil.component.ts
fa-link,5,Link,exacto,no,frontend/src/app/features/area/area-panel.component.ts | frontend/src/app/features/presupuesto/presupuesto-dashboard.component.ts
